Project Name,Package Name,Type Name,Method Name,Code Smell
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,VoxelShapeSimpleCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,VoxelShapeSimpleCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,offset,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,calculatePenetration,Missing default
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Missing default
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,calculatePenetration,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes.pairs,LithiumDoublePairList,merge,Complex Conditional
java,me.jellysquid.mods.lithium.common.shapes.pairs,LithiumDoublePairList,merge,Complex Conditional
java,me.jellysquid.mods.lithium.common.shapes.pairs,LithiumDoublePairList,merge,Complex Method
java,me.jellysquid.mods.lithium.common.shapes.pairs,LithiumDoublePairList,merge,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes.pairs,LithiumDoublePairList,merge,Magic Number
java,me.jellysquid.mods.lithium.common.shapes.pairs,LithiumDoublePairList,merge,Magic Number
java,me.jellysquid.mods.lithium.common.util,Distances,getMinChunkToBlockDistanceL2Sq,Magic Number
java,me.jellysquid.mods.lithium.common.util,Distances,getMinChunkToBlockDistanceL2Sq,Magic Number
