Project Name,Package Name,Type Name,Code Smell
java,me.jellysquid.mods.lithium.mixin.alloc.nbt,Type,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.flatten_states,FluidStateMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,AbstractMinecartEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ChestBoatEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ComposterMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ComposterBlockComposterInventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ComposterBlockDummyInventoryMixin,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ComposterBlockDummyInventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ComposterBlockFullComposterInventoryMixin,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ComposterBlockFullComposterInventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,DefaultedListAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,DoubleInventoryAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,EntityAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,EntityDataObjectMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,EntityTrackingSectionAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,HopperBlockEntityMixin,Unexploited Encapsulation
java,me.jellysquid.mods.lithium.mixin.block.hopper,HopperBlockEntityMixin,Missing Hierarchy
java,me.jellysquid.mods.lithium.mixin.block.hopper,HopperBlockEntityMixin,Insufficient Modularization
java,me.jellysquid.mods.lithium.mixin.block.hopper,HopperBlockMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessors,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorAbstractFurnaceBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorBarrelBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorBrewingStandBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorChestBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorDispenserBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorHopperBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorShulkerBoxBlockEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryAccessorStorageMinecartEntity,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryMixin,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,InventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,ScreenHandlerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,TypeFilterableListMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.hopper,WorldMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.moving_block_shapes,VoxelShapeMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.block.redstone_wire,RedstoneWireBlockMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.cached_hashcode,BlockNeighborGroupMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.entity_class_groups,ClientWorldMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.entity_class_groups,TypeFilterableListMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.no_locking,ChunkSectionMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.no_locking,PalettedContainerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.no_validation,EmptyPaletteStorageMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.no_validation,PackedIntegerArrayMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.palette,PalettedContainerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.palette,PalettedContainerMixin,Deficient Encapsulation
java,me.jellysquid.mods.lithium.mixin.chunk.serialization,PackedIntegerArrayMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.chunk.serialization,PalettedContainerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.attributes,AttributeContainerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.block_entity_tickers,WorldChunkMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.brain,BrainMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.chunk_tickets,SortedArraySetMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.entity_by_type,TypeFilterableListMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.entity_filtering,TypeFilterableListMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.entity_ticking,EntityListMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.fluid_submersion,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.gamerules,GameRulesMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.goals,GoalSelectorMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.mob_spawning,PoolMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.collections.mob_spawning,SpawnSettingsMixin,Unutilized Abstraction
